已选文件:,"Selected file:"
源码编辑路径被策略保护。,"The source edit path is protected by policy."
源码改名需要提供不同的新名称。,"Source rename requires a different new name."
源码编辑只允许修改已存在文件。,"Source editing can only modify existing files."
目标源码文件已存在。,"The target source file already exists."
"源码回收仅允许小于 128 KB 的单个源码文件。","Source trash only allows one source file smaller than 128 KB."
"Source policy does not allow the selected root.","Source policy does not allow the selected root."
"Source file name or extension is not allowed.","Source file name or extension is not allowed."
"Source directory is invalid or outside the selected root.","Source directory is invalid or outside the selected root."
"Source path is protected by policy.","Source path is protected by policy."
"Source archive requires an existing readable file.","Source archive requires an existing readable file."
"Source archive only allows one source file smaller than 128 KB.","Source archive only allows one source file smaller than 128 KB."
"Source directory name is invalid.","Source directory name is invalid."
"Source archive requires an existing readable directory.","Source archive requires an existing readable directory."
"Source selection is invalid.","Source selection is invalid."
"Source selection requires existing readable entries.","Source selection requires existing readable entries."
"Source archive only allows source files smaller than 128 KB.","Source archive only allows source files smaller than 128 KB."
"文本内容超过 128 KB 或包含二进制空字节。","Text content exceeds 128 KB or contains binary null bytes."
"No writable root is available.","No writable root is available."
"Selected root is read-only.","Selected root is read-only."
"File path is invalid or outside the selected root.","File path is invalid or outside the selected root."
"Target parent directory is not writable.","Target parent directory is not writable."
"File uploaded.","File uploaded."
"Entry renamed.","Entry renamed."
"Entry deleted.","Entry deleted."
"Directory tree deleted.","Directory tree deleted."
"Archive created.","Archive created."
"Large-file compression queue created.","Large-file compression queue created."
"Recoverable trash queue created.","Recoverable trash queue created."
"Trash entry restored.","Trash entry restored."
回收条目已永久清理。,"Trash entry permanently purged."
路径策略已保存。,"Path policy saved."
路径策略已恢复默认继承。,"Path policy reset to default inheritance."
目录已创建。,"Directory created."
文本文件已保存。,"Text file saved."
源码文件已保存。,"Source file saved."
源码文件已创建。,"Source file created."
源码文件已重命名。,"Source file renamed."
源码文件已移入可恢复回收站。,"Source file moved to recoverable trash."
"Source archive queue created.","Source archive queue created."
"Source directory archive queue created.","Source directory archive queue created."
"Source selection archive queue created.","Source selection archive queue created."
"Upload file","Upload file"
"Rename entry","Rename entry"
"Delete entry","Delete entry"
"Delete directory tree","Delete directory tree"
"Compress entry","Compress entry"
"Queued compression","Queued compression"
"Queued trash move","Queued trash move"
"Restore trash entry","Restore trash entry"
"Purge trash entry","Purge trash entry"
"Save path policy","Save path policy"
"Reset path policy","Reset path policy"
创建目录,"Create Directory"
保存文本,"Save Text"
保存源码,"Save source"
创建源码文件,"Create source file"
重命名源码文件,"Rename source file"
回收源码文件,"Trash source file"
队列回收源码文件,"Queue source trash file"
"Queued source archive","Queued source archive"
"Queued source directory archive","Queued source directory archive"
"Queued source selection archive","Queued source selection archive"
成功,Success
已拒绝,Denied
失败,Failed
"Upload file name or extension is not allowed.","Upload file name or extension is not allowed."
"No valid uploaded file was detected.","No valid uploaded file was detected."
"Uploaded file must be larger than 0 B and no larger than 5 MB.","Uploaded file must be larger than 0 B and no larger than 5 MB."
"Target file or directory does not exist.","Target file or directory does not exist."
"Uploaded file could not be saved.","Uploaded file could not be saved."
"Rename operation failed.","Rename operation failed."
"Deleting a root directory is not allowed.","Deleting a root directory is not allowed."
"This directory is not empty. Enable recursive delete and type DELETE_TREE to delete it.","This directory is not empty. Enable recursive delete and type DELETE_TREE to delete it."
"Recursive directory delete requires enabling recursive delete and typing DELETE_TREE.","Recursive directory delete requires enabling recursive delete and typing DELETE_TREE."
"Directory tree contains too many entries for recursive delete.","Directory tree contains too many entries for recursive delete."
"Directory tree exceeds the 10 MB recursive delete limit.","Directory tree exceeds the 10 MB recursive delete limit."
"Symbolic links cannot be deleted from the panel.","Symbolic links cannot be deleted from the panel."
"Delete operation failed.","Delete operation failed."
"Compressing a root directory is not allowed.","Compressing a root directory is not allowed."
"Archive name must be a safe .zip file name.","Archive name must be a safe .zip file name."
"Archive target already exists.","Archive target already exists."
"Large-file compression queue could not be created.","Large-file compression queue could not be created."
"A pending or running queue already targets this archive.","A pending or running queue already targets this archive."
"Large-file queue status could not be loaded.","Large-file queue status could not be loaded."
"A pending or running queue already targets this trash move.","A pending or running queue already targets this trash move."
"Root entries and existing trash entries cannot be queued for trash.","Root entries and existing trash entries cannot be queued for trash."
"Symbolic links cannot be moved to trash from the panel.","Symbolic links cannot be moved to trash from the panel."
"Trash source contains too many entries for this stage.","Trash source contains too many entries for this stage."
"Trash source exceeds the 512 MB queue limit.","Trash source exceeds the 512 MB queue limit."
"Trash directory could not be created.","Trash directory could not be created."
"Trash directory is not writable.","Trash directory is not writable."
"Trash target already exists.","Trash target already exists."
"Trash move failed.","Trash move failed."
"Trash source could not be scanned.","Trash source could not be scanned."
"Trash entry does not exist.","Trash entry does not exist."
"Trash entry is outside the recoverable trash directory.","Trash entry is outside the recoverable trash directory."
"Trash queue record is invalid.","Trash queue record is invalid."
"Trash queue is not complete yet.","Trash queue is not complete yet."
"Restore target already exists.","Restore target already exists."
"Trash entry could not be restored.","Trash entry could not be restored."
"永久清理前请勾选确认并输入 PURGE_TRASH。","Select confirmation and type PURGE_TRASH before permanent purge."
"不能永久清理整个 .wls-trash 根目录。","The entire .wls-trash root cannot be permanently purged."
回收条目永久清理失败。,"Trash entry permanent purge failed."
回收条目已清理，但队列审计状态更新失败。,"Trash entry was purged, but queue audit state could not be updated."
源码回收队列已创建。,"Source trash queue created."
已有待处理或运行中的源码回收队列。,"A pending or running source trash queue already targets this file."
"PHP ZipArchive extension is not available.","PHP ZipArchive extension is not available."
"Target file or directory is not readable.","Target file or directory is not readable."
"Symbolic links cannot be compressed from the panel.","Symbolic links cannot be compressed from the panel."
"Archive source contains too many entries for this stage.","Archive source contains too many entries for this stage."
"Archive source exceeds the 10 MB compression limit.","Archive source exceeds the 10 MB compression limit."
"Archive could not be created.","Archive could not be created."
"保存路径策略前请勾选确认并输入 SAVE_PATH_POLICY。","Select confirmation and type SAVE_PATH_POLICY before saving the path policy."
路径策略包含不支持的写入根目录。,"The path policy contains an unsupported write root."
路径策略包含不支持的源码编辑根目录。,"The path policy contains an unsupported source edit root."
启用源码编辑时至少选择一个源码根目录。,"Select at least one source root when enabling source editing."
路径策略写入失败。,"The path policy could not be written."
"恢复默认路径策略前请勾选确认并输入 RESET_PATH_POLICY。","Select confirmation and type RESET_PATH_POLICY before resetting the path policy."
路径策略恢复默认失败。,"The path policy could not be reset."
请求方式错误。,"Invalid request method."
请先完成写入确认。,"Complete the write confirmation first."
名称无效。仅允许字母、数字、点、下划线和短横线，且不能以点开头。,"Invalid name. Only letters, numbers, dots, underscores, and hyphens are allowed, and names cannot start with a dot."
文本文件名无效或扩展名不在允许列表内。,"The text file name is invalid or its extension is not allowed."
目标已存在。,"The target already exists."
目标文件已存在，请勾选覆盖确认。,"The target file already exists. Check overwrite confirmation first."
文件系统写入失败。,"Filesystem write failed."
"A pending or running queue already targets this source directory archive.","A pending or running queue already targets this source directory archive."
"A pending or running queue already targets this source selection archive.","A pending or running queue already targets this source selection archive."
"Source selection archive accepts up to 20 entries.","Source selection archive accepts up to 20 entries."
"Source directory archive exceeds the 10 MB source queue limit.","Source directory archive exceeds the 10 MB source queue limit."
"Queued source trash move","Queued source trash move"
"Queue operation","Queue operation"
Pending,Pending
Running,Running
Done,Done
Error,Error
Stopped,Stopped
可恢复回收项,Restorable
等待队列完成,"Waiting for queue"
目标已存在,"Target exists"
已永久清理,"Permanently purged"
回收项不可用,"Trash entry unavailable"
队列失败,"Queue failed"
"Project context is resolved; guarded writes can target child project var/pub when those directories exist, are writable, and are enabled by the path policy.","Project context is resolved; guarded writes can target child project var/pub when those directories exist, are writable, and are enabled by the path policy."
"Local context only; guarded writes target the current panel instance var/pub roots and can be narrowed by the path policy.","Local context only; guarded writes target the current panel instance var/pub roots and can be narrowed by the path policy."
路径白名单,"Path Allowlist"
策略受控,"Policy controlled"
文件浏览,"File Browsing"
已启用,Enabled
"目录列表、文本预览和受限下载已开放，下载仍限制在 20 MB 内。","Directory listing, text preview, and restricted downloads are available; downloads remain capped at 20 MB."
"Change Operations","Change Operations"
Guarded,Guarded
"Directory creation, small text saves, guarded uploads, same-folder rename, file, empty-directory, bounded recursive directory delete, bounded ZIP compression, and queued large ZIP compression require ACL, confirmation, and operation logs.","Directory creation, small text saves, guarded uploads, same-folder rename, file, empty-directory, bounded recursive directory delete, bounded ZIP compression, and queued large ZIP compression require ACL, confirmation, and operation logs."
预览,Preview
允许的文件类型：,"Allowed file types:"
允许的文件大小：,"Allowed file size:"
暂无缩略图,"No thumbnail available"
"子项目 var/pub 受控写入","子项目 var/pub 受控写入"
子项目路径待校验,子项目路径待校验
"当前实例 var/pub 受控写入","当前实例 var/pub 受控写入"
"All actions","All actions"
"Create directory","Create directory"
"Save text","Save text"
"Save source","Save source"
"Create source file","Create source file"
"Rename source file","Rename source file"
"Trash source file","Trash source file"
"All results","All results"
Success,Success
Denied,Denied
Failed,Failed
"All roots","All roots"
Policy,Policy
"WLS 文件管理器导航","WLS File Manager Navigation"
"WLS Panel Plugin","WLS Panel Plugin"
文件管理器,"File Manager"
"WLS 面板","WLS Panel"
路径,Paths
浏览,Browse
策略,策略
写入,Write
队列,Queue
日志,Logs
能力,Capabilities
插件商城,"Plugin Marketplace"
深色,Dark
浅色,Light
切换明暗色,"Toggle color mode"
"WLS 独立面板插件","WLS Standalone Panel Plugin"
"当前版本提供目录浏览、文本预览、受限下载，以及 var/pub 根目录内的目录创建、小文本保存、受控上传、同目录重命名、删除、受限压缩和队列化大文件压缩。","This version provides directory browsing, text preview, limited downloads, and directory creation, small text saves, guarded uploads, same-folder rename, delete, bounded compression, and queued large-file compression inside var/pub roots."
项目后台,"Project Admin"
"返回 WLS","Back to WLS"
项目上下文,"Project Context"
"项目 ID","Project ID"
当前项目,"Current Project"
域名,Domain
未指定,"Not specified"
项目类型,"Project Type"
默认,Default
入口能力,"Entry Capability"
路径策略,路径策略
路径摘要,"Path Summary"
暂无路径信息,"No path information"
项目级写入根策略,"Project write-root policy"
"保存后立即影响本页面所有受控写入动作；项目真实路径仍只在服务端解析，不通过 URL 或表单回传。","Saving immediately affects every guarded write action on this page. Real project paths are resolved only on the server and are never returned through URLs or forms."
已保存策略,"Saved policy"
默认继承,"Default inheritance"
"Path policy summary","Path policy summary"
策略键,"Policy key"
启用根,"Enabled roots"
全部只读,"All read-only"
源码编辑,"Source editing"
默认关闭,"Off by default"
更新时间,"Updated at"
未保存,"Not saved"
当前上下文没有可配置的受控写入根。,"The current context has no configurable guarded write roots."
允许源码编辑策略,"Allow source edit policy"
"仅允许编辑已存在且小于 128 KB 的源码文件；新建、同目录改名和单文件回收需使用独立 SOURCE_CREATE_FILE / SOURCE_RENAME / SOURCE_TRASH 表单，不会开放上传、硬删除或队列操作。","Only existing source files smaller than 128 KB can be edited; new files, same-directory renames, and single-file trash moves must use the separate SOURCE_CREATE_FILE / SOURCE_RENAME / SOURCE_TRASH forms, and upload, hard delete, and queue operations are not opened."
源码扩展名,"Source extensions"
当前上下文没有可配置的源码根。,"No configurable source roots are available for the current context."
策略备注,"Policy note"
"例如：仅允许子项目 var 写入，pub 由发布流程接管。","For example: allow only child project var writes; pub is handled by the deploy flow."
备注只用于面板审计说明，不参与路径计算。,"Notes are only used for panel audit context and do not participate in path calculation."
我确认立即更新此项目的文件写入根策略。,"I confirm this project's file write-root policy should be updated now."
确认短语,"Confirmation Phrase"
保存路径策略,"Save path policy"
恢复默认继承,"Reset to default inheritance"
删除当前项目或域名的已保存策略，让写入根重新按面板默认规则计算。,"Delete the saved policy for the current project or domain so write roots are calculated from panel defaults again."
可恢复,"Reset available"
无需恢复,"No reset needed"
我确认删除当前项目或域名的已保存路径策略。,"I confirm the saved path policy for the current project or domain should be deleted."
恢复确认短语,"Reset confirmation phrase"
恢复默认策略,"Reset default policy"
目录浏览,"Directory Browser"
只读目录列表,"Read-only Directory List"
目录浏览被限制在下列根目录内，越权路径会自动回到根目录。,"Directory browsing is limited to the roots below; unauthorized paths automatically return to the root."
根目录,"Root Directory"
当前目录,"Current Directory"
返回上级,"Go Up"
文件预览,"File Preview"
未选择可预览文件。,"No previewable file selected."
编辑此文本,"Edit this text"
当前预览文件不能直接编辑：%{1},"The current preview file cannot be edited directly: %{1}"
"预览内容已截断，仅显示前 64 KB。","Preview content is truncated. Only the first 64 KB is shown."
名称,Name
类型,Type
大小,Size
修改时间,"Modified Time"
状态,Status
操作,Actions
文件夹,Folder
文件,File
可读,Readable
不可读,"Not readable"
下载,Download
"已显示前 200 项，继续收窄目录查看剩余内容。","Showing the first 200 items. Narrow the directory to inspect the remaining content."
此目录暂无可显示文件。,"This directory has no displayable files."
受控写入,受控写入
第一阶段写入能力,"First Write Slice"
"Ordinary writes stay on var/pub roots. Source roots require source policy and dedicated source actions.","Ordinary writes stay on var/pub roots. Source roots require source policy and dedicated source actions."
源码编辑可用,"Source editing available"
当前根目录可写,"Current Root Writable"
当前根目录只读,"Current Root Read-only"
写入目录,"Write Directory"
允许扩展名,"Allowed Extensions"
非破坏性,Non-destructive
目录名,"Directory Name"
仅允许字母、数字、点、下划线和短横线，且不能以点开头。,"Only letters, numbers, dots, underscores, and hyphens are allowed, and names cannot start with a dot."
我确认在当前允许根目录内创建这个目录。,"I confirm this directory will be created inside the current allowed root."
保存小文本,"Save Small Text"
源码策略,"Source policy"
"128 KB","128 KB"
已载入预览文件：%{1},"Preview file loaded: %{1}"
"保存源码前仍需要勾选确认并输入 SAVE_SOURCE。","Before saving source, confirm and type SAVE_SOURCE."
"保存前仍需要勾选确认并输入 SAVE_TEXT。","Saving still requires selecting confirmation and typing SAVE_TEXT."
文件名,"File Name"
写入相对目录,"Write relative directory"
文本内容,"Text Content"
未修改,Unchanged
已修改,Modified
"超过 128 KB","Over 128 KB"
光标,Cursor
文本编辑器工具,"Text editor tools"
自动换行,"Soft Wrap"
字号,"Font Size"
编辑器字号,"Editor Font Size"
还原预览,"Revert Preview"
行,lines
字符,chars
字节,bytes
"源码编辑仅允许保存已存在的 php、phtml、js、ts、vue、css、scss、html、xml、json、md 等小源码文件。","Source editing only saves existing small source files such as php, phtml, js, ts, vue, css, scss, html, xml, json, and md."
"只允许保存 txt、md、json、csv、xml、yaml、yml、ini、conf、log、css 等文本文件。","Only txt, md, json, csv, xml, yaml, yml, ini, conf, log, css and similar text files are allowed."
如果文件已存在，允许覆盖。,"Allow overwrite if the file already exists."
我确认这个写入目标位于当前允许根目录内。,"I confirm this write target is inside the current allowed root."
"5 MB","5 MB"
File,File
"Allowed upload extensions","Allowed upload extensions"
"Allow overwrite when a file with the same name already exists.","Allow overwrite when a file with the same name already exists."
"I confirm this upload target is inside the current allowlisted root.","I confirm this upload target is inside the current allowlisted root."
"Confirmation phrase","Confirmation phrase"
"Same folder","Same folder"
"Relative path","Relative path"
"Use the relative path shown in the file list.","Use the relative path shown in the file list."
"New name","New name"
"I confirm this rename stays inside the same allowlisted folder.","I confirm this rename stays inside the same allowlisted folder."
"Bounded ZIP","Bounded ZIP"
"Compress a file or directory into a sibling ZIP archive.","Compress a file or directory into a sibling ZIP archive."
"Archive name","Archive name"
"Limits: 200 entries and 10 MB source data. Existing archives are not overwritten.","Limits: 200 entries and 10 MB source data. Existing archives are not overwritten."
"I confirm this archive stays inside the same allowlisted folder.","I confirm this archive stays inside the same allowlisted folder."
"Bounded delete","Bounded delete"
"I understand this delete cannot be undone from the panel.","I understand this delete cannot be undone from the panel."
"Allow bounded recursive directory delete for this target.","Allow bounded recursive directory delete for this target."
大文件队列,"Large-file Queue"
"Large ZIP compression and recoverable trash moves are queued through Weline Queue so WLS requests stay responsive. Workers re-check root boundaries before writing or moving files.","Large ZIP compression and recoverable trash moves are queued through Weline Queue so WLS requests stay responsive. Workers re-check root boundaries before writing or moving files."
当前根目录可入队,"Current root can enqueue"
"Queue Summary","Queue Summary"
Shown,Shown
回收历史,"Trash History"
可恢复回收,Restorable
"Queue ZIP compression","Queue ZIP compression"
Async,Async
"Use this for larger folders or files that should not be compressed inside a browser request.","Use this for larger folders or files that should not be compressed inside a browser request."
"Queued limits: 2000 entries and 512 MB source data. The worker refuses symlinks and path escapes.","Queued limits: 2000 entries and 512 MB source data. The worker refuses symlinks and path escapes."
"I confirm this queued archive should be written into the same allowlisted folder.","I confirm this queued archive should be written into the same allowlisted folder."
"Create queue","Create queue"
"Source policy","Source policy"
"Source file name","Source file name"
"Creates one new file in the current source-policy root. Directories, uploads, renames, deletes, and queue operations stay disabled for source roots.","Creates one new file in the current source-policy root. Directories, uploads, renames, deletes, and queue operations stay disabled for source roots."
"Initial content","Initial content"
"Optional. Max 128 KB; binary content is rejected.","Optional. Max 128 KB; binary content is rejected."
"Allowed source extensions","Allowed source extensions"
"I confirm this new source file belongs in the current source-policy root.","I confirm this new source file belongs in the current source-policy root."
"Current source file name","Current source file name"
"Renames one existing file in the current source-policy directory. Cross-folder moves, overwrites, deletes, uploads, and queue operations stay disabled for source roots.","Renames one existing file in the current source-policy directory. Cross-folder moves, overwrites, deletes, uploads, and queue operations stay disabled for source roots."
"New source file name","New source file name"
"I confirm this rename stays inside the current source-policy root.","I confirm this rename stays inside the current source-policy root."
Recoverable,Recoverable
"Moves one existing source-policy file into the same root .wls-trash folder. Directories, hard delete, purge, and broad source queues stay disabled.","Moves one existing source-policy file into the same root .wls-trash folder. Directories, hard delete, purge, and broad source queues stay disabled."
"I confirm this source file should be moved into recoverable trash, not permanently deleted.","I confirm this source file should be moved into recoverable trash, not permanently deleted."
"Queue source trash","Queue source trash"
"Source queue","Source queue"
"Queues one existing source-policy file into recoverable .wls-trash. Single file only, max 128 KB; directories, purge, hard delete, upload, and broad source queues stay disabled.","Queues one existing source-policy file into recoverable .wls-trash. Single file only, max 128 KB; directories, purge, hard delete, upload, and broad source queues stay disabled."
"I confirm this source file should be queued for recoverable trash, not permanently deleted.","I confirm this source file should be queued for recoverable trash, not permanently deleted."
"Create source trash queue","Create source trash queue"
"Queue source archive","Queue source archive"
Read-only,Read-only
"Queues one existing source-policy file into a server-side archive under var/wls-panel/file-manager/source-archives. Single file only, max 128 KB; directories, source-root zip writes, upload, delete, and overwrite stay disabled.","Queues one existing source-policy file into a server-side archive under var/wls-panel/file-manager/source-archives. Single file only, max 128 KB; directories, source-root zip writes, upload, delete, and overwrite stay disabled."
"I confirm this source file should be archived through a read-only queue.","I confirm this source file should be archived through a read-only queue."
"Create source archive queue","Create source archive queue"
"Queue source directory archive","Queue source directory archive"
"Source directory name","Source directory name"
"Queues one existing source-policy child directory into a server-side archive under var/wls-panel/file-manager/source-archives. Max 200 entries and 10 MB; the source tree is only read by the worker.","Queues one existing source-policy child directory into a server-side archive under var/wls-panel/file-manager/source-archives. Max 200 entries and 10 MB; the source tree is only read by the worker."
"I confirm this source directory should be archived through a read-only queue.","I confirm this source directory should be archived through a read-only queue."
"Create source directory archive queue","Create source directory archive queue"
"Queue source selection archive","Queue source selection archive"
"Source entry names","Source entry names"
"Queues up to 20 files or child directories from the current source-policy directory into one read-only archive under var/wls-panel/file-manager/source-archives. Max 200 archived entries and 10 MB; no source-root ZIP writes, upload, delete, or overwrite.","Queues up to 20 files or child directories from the current source-policy directory into one read-only archive under var/wls-panel/file-manager/source-archives. Max 200 archived entries and 10 MB; no source-root ZIP writes, upload, delete, or overwrite."
"I confirm these selected source entries should be archived through a read-only queue.","I confirm these selected source entries should be archived through a read-only queue."
"Create source selection archive queue","Create source selection archive queue"
"Queue recoverable trash","Queue recoverable trash"
"Moves the target into the same root .wls-trash folder. Completed jobs can be restored from the recent queue list while the original path is still free.","Moves the target into the same root .wls-trash folder. Completed jobs can be restored from the recent queue list while the original path is still free."
"I confirm this target should be moved into recoverable trash, not permanently deleted.","I confirm this target should be moved into recoverable trash, not permanently deleted."
"Create recoverable queue","Create recoverable queue"
"Recent queue jobs","Recent queue jobs"
"Latest 10","Latest 10"
Source,Source
Target,Target
Start,Start
End,End
Restore,Restore
"No queued large-file operations yet.","No queued large-file operations yet."
"Latest 30","Latest 30"
"Only queue-created trash entries are listed here. Restore remains available only while the original path is still free and the .wls-trash entry exists. Permanent purge requires explicit PURGE_TRASH confirmation.","Only queue-created trash entries are listed here. Restore remains available only while the original path is still free and the .wls-trash entry exists. Permanent purge requires explicit PURGE_TRASH confirmation."
Trash,Trash
Purged,Purged
我确认永久删除此回收条目。,"I confirm this trash entry should be permanently deleted."
永久清理,"Permanent purge"
暂无可恢复回收历史。,"No recoverable trash history yet."
"Operation Logs","Operation Logs"
"Audit Summary","Audit Summary"
Scanned,Scanned
"Audit Filters","Audit Filters"
Action,Action
Result,Result
Root,Root
Keyword,Keyword
"Path, target, domain, or IP","Path, target, domain, or IP"
"Filter Logs","Filter Logs"
"Reset Filters","Reset Filters"
Latest,Latest
"No matching file operation logs.","No matching file operation logs."
暂无文件操作日志。,"No file operation logs yet."
能力阶段,"Capability Stages"
"WLS 文件管理器大文件操作","WLS File Manager large-file operation"
"由 WLS 文件管理器创建的大文件压缩任务，避免在面板请求内执行长耗时文件操作。","Large-file compression task created by WLS File Manager to avoid long-running file work inside panel requests."
"WLS 文件队列内容无效。","WLS file queue content is invalid."
"WLS source directory archive queue payload is invalid.","WLS source directory archive queue payload is invalid."
"WLS source archive queue payload is invalid.","WLS source archive queue payload is invalid."
"WLS source selection archive queue payload is invalid.","WLS source selection archive queue payload is invalid."
"WLS 源码文件队列内容无效。","WLS source file queue payload is invalid."
"WLS 文件管理器队列压缩开始：%{1}","WLS File Manager queued compression started: %{1}"
"WLS 文件管理器队列压缩失败：%{1}","WLS File Manager queued compression failed: %{1}"
"WLS 文件管理器队列压缩完成：%{1}（%{2} 个条目，%{3} 字节）。","WLS File Manager queued compression completed: %{1} (%{2} entries, %{3} bytes)."
"WLS source archive queue started: %{1}","WLS source archive queue started: %{1}"
"WLS source archive queue failed: %{1}","WLS source archive queue failed: %{1}"
"WLS source archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)","WLS source archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)"
"WLS source directory archive queue started: %{1}","WLS source directory archive queue started: %{1}"
"WLS source directory archive queue failed: %{1}","WLS source directory archive queue failed: %{1}"
"WLS source directory archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)","WLS source directory archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)"
"WLS source selection archive queue started: %{1}","WLS source selection archive queue started: %{1}"
"WLS source selection archive queue failed: %{1}","WLS source selection archive queue failed: %{1}"
"WLS source selection archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)","WLS source selection archive queue completed: %{1} -> %{2} (%{3} entries, %{4} bytes)"
"WLS 文件管理器队列回收开始：%{1}","WLS File Manager queued trash started: %{1}"
"WLS 文件管理器队列回收失败：%{1}","WLS File Manager queued trash failed: %{1}"
"WLS 文件管理器队列回收完成：%{1} -> %{2}（%{3} 个条目，%{4} 字节，可恢复）。","WLS File Manager queued trash completed: %{1} -> %{2} (%{3} entries, %{4} bytes, recoverable)."
源码编辑默认关闭,"Source editing is off by default"
源码编辑策略允许,"Source edit policy allowed"
源码编辑策略禁用,"Source edit policy disabled"
源码编辑策略允许此只读根目录内的已存在小源码文件进入保存表单。,"The source edit policy allows existing small source files in this read-only root to enter the save form."
策略只读根目录,"Policy read-only root"
策略禁用,"Policy disabled"
策略只读,"Policy read-only"
当前项目路径策略已禁用此根目录写入。,"The current project path policy has disabled writes for this root."
策略允许,"Policy allowed"
当前项目路径策略允许此根目录受控写入。,"The current project path policy allows guarded writes for this root."
